date,open,high,low,close,volume,open_interest,total_volume,total_open_interest
19710104,4.318,4.318,4.318,4.318,0,0,0,0
19710105,4.3117,4.3117,4.3117,4.3117,0,0,0,0
19710106,4.3113,4.3113,4.3113,4.3113,0,0,0,0
19710107,4.3103,4.3103,4.3103,4.3103,0,0,0,0
19710108,4.3109,4.3109,4.3109,4.3109,0,0,0,0
19710111,4.3102,4.3102,4.3102,4.3102,0,0,0,0
19710112,4.3099,4.3099,4.3099,4.3099,0,0,0,0
19710113,4.3095,4.3095,4.3095,4.3095,0,0,0,0
19710114,4.3095,4.3095,4.3095,4.3095,0,0,0,0
19710115,4.3076,4.3076,4.3076,4.3076,0,0,0,0
19710118,4.3029,4.3029,4.3029,4.3029,0,0,0,0
19710119,4.3006,4.3006,4.3006,4.3006,0,0,0,0
19710120,4.301,4.301,4.301,4.301,0,0,0,0
19710121,4.3017,4.3017,4.3017,4.3017,0,0,0,0
19710122,4.2996,4.2996,4.2996,4.2996,0,0,0,0
19710125,4.3005,4.3005,4.3005,4.3005,0,0,0,0
19710126,4.2987,4.2987,4.2987,4.2987,0,0,0,0
19710127,4.2973,4.2973,4.2973,4.2973,0,0,0,0
19710128,4.2978,4.2978,4.2978,4.2978,0,0,0,0
19710129,4.2963,4.2963,4.2963,4.2963,0,0,0,0
19710201,4.2968,4.2968,4.2968,4.2968,0,0,0,0
19710202,4.2969,4.2969,4.2969,4.2969,0,0,0,0
19710203,4.2965,4.2965,4.2965,4.2965,0,0,0,0
19710204,4.2966,4.2966,4.2966,4.2966,0,0,0,0
19710205,4.2969,4.2969,4.2969,4.2969,0,0,0,0
19710208,4.2979,4.2979,4.2979,4.2979,0,0,0,0
19710209,4.2969,4.2969,4.2969,4.2969,0,0,0,0
19710210,4.2972,4.2972,4.2972,4.2972,0,0,0,0
19710211,4.2967,4.2967,4.2967,4.2967,0,0,0,0
19710216,4.2968,4.2968,4.2968,4.2968,0,0,0,0
19710217,4.2968,4.2968,4.2968,4.2968,0,0,0,0
19710218,4.2967,4.2967,4.2967,4.2967,0,0,0,0
19710219,4.2963,4.2963,4.2963,4.2963,0,0,0,0
19710222,4.2958,4.2958,4.2958,4.2958,0,0,0,0
19710223,4.2957,4.2957,4.2957,4.2957,0,0,0,0
19710224,4.3015,4.3015,4.3015,4.3015,0,0,0,0
19710225,4.3073,4.3073,4.3073,4.3073,0,0,0,0
19710226,4.307,4.307,4.307,4.307,0,0,0,0
19710301,4.3073,4.3073,4.3073,4.3073,0,0,0,0
19710302,4.3054,4.3054,4.3054,4.3054,0,0,0,0
19710303,4.3039,4.3039,4.3039,4.3039,0,0,0,0
19710304,4.3068,4.3068,4.3068,4.3068,0,0,0,0
19710305,4.3066,4.3066,4.3066,4.3066,0,0,0,0
19710308,4.302,4.302,4.302,4.302,0,0,0,0
19710309,4.3011,4.3011,4.3011,4.3011,0,0,0,0
19710310,4.304,4.304,4.304,4.304,0,0,0,0
19710311,4.3012,4.3012,4.3012,4.3012,0,0,0,0
19710312,4.301,4.301,4.301,4.301,0,0,0,0
19710315,4.3004,4.3004,4.3004,4.3004,0,0,0,0
19710316,4.3002,4.3002,4.3002,4.3002,0,0,0,0
19710317,4.2995,4.2995,4.2995,4.2995,0,0,0,0
19710318,4.2983,4.2983,4.2983,4.2983,0,0,0,0
19710319,4.2972,4.2972,4.2972,4.2972,0,0,0,0
19710322,4.2971,4.2971,4.2971,4.2971,0,0,0,0
19710323,4.2972,4.2972,4.2972,4.2972,0,0,0,0
19710324,4.2968,4.2968,4.2968,4.2968,0,0,0,0
19710325,4.2969,4.2969,4.2969,4.2969,0,0,0,0
19710326,4.2959,4.2959,4.2959,4.2959,0,0,0,0
19710329,4.2966,4.2966,4.2966,4.2966,0,0,0,0
19710330,4.2958,4.2958,4.2958,4.2958,0,0,0,0
19710331,4.2954,4.2954,4.2954,4.2954,0,0,0,0
19710401,4.2955,4.2955,4.2955,4.2955,0,0,0,0
19710402,4.2947,4.2947,4.2947,4.2947,0,0,0,0
19710405,4.2971,4.2971,4.2971,4.2971,0,0,0,0
19710406,4.2974,4.2974,4.2974,4.2974,0,0,0,0
19710407,4.296,4.296,4.296,4.296,0,0,0,0
19710408,4.2937,4.2937,4.2937,4.2937,0,0,0,0
19710409,4.2951,4.2951,4.2951,4.2951,0,0,0,0
19710412,4.2969,4.2969,4.2969,4.2969,0,0,0,0
19710413,4.3019,4.3019,4.3019,4.3019,0,0,0,0
19710414,4.3024,4.3024,4.3024,4.3024,0,0,0,0
19710415,4.2992,4.2992,4.2992,4.2992,0,0,0,0
19710416,4.3019,4.3019,4.3019,4.3019,0,0,0,0
19710419,4.3052,4.3052,4.3052,4.3052,0,0,0,0
19710420,4.3039,4.3039,4.3039,4.3039,0,0,0,0
19710421,4.3008,4.3008,4.3008,4.3008,0,0,0,0
19710422,4.2995,4.2995,4.2995,4.2995,0,0,0,0
19710423,4.3025,4.3025,4.3025,4.3025,0,0,0,0
19710426,4.3008,4.3008,4.3008,4.3008,0,0,0,0
19710427,4.299,4.299,4.299,4.299,0,0,0,0
19710428,4.2957,4.2957,4.2957,4.2957,0,0,0,0
19710429,4.2957,4.2957,4.2957,4.2957,0,0,0,0
19710430,4.2959,4.2959,4.2959,4.2959,0,0,0,0
19710503,4.2955,4.2955,4.2955,4.2955,0,0,0,0
19710504,4.2952,4.2952,4.2952,4.2952,0,0,0,0
19710505,4.1841,4.1841,4.1841,4.1841,0,0,0,0
19710506,4.1667,4.1667,4.1667,4.1667,0,0,0,0
19710507,4.1374,4.1374,4.1374,4.1374,0,0,0,0
19710510,4.1076,4.1076,4.1076,4.1076,0,0,0,0
19710511,4.1164,4.1164,4.1164,4.1164,0,0,0,0
19710512,4.1095,4.1095,4.1095,4.1095,0,0,0,0
19710513,4.095,4.095,4.095,4.095,0,0,0,0
19710514,4.095,4.095,4.095,4.095,0,0,0,0
19710517,4.0914,4.0914,4.0914,4.0914,0,0,0,0
19710518,4.0872,4.0872,4.0872,4.0872,0,0,0,0
19710519,4.0866,4.0866,4.0866,4.0866,0,0,0,0
19710520,4.0869,4.0869,4.0869,4.0869,0,0,0,0
19710521,4.0733,4.0733,4.0733,4.0733,0,0,0,0
19710524,4.0771,4.0771,4.0771,4.0771,0,0,0,0
19710525,4.0868,4.0868,4.0868,4.0868,0,0,0,0
19710526,4.0882,4.0882,4.0882,4.0882,0,0,0,0
19710527,4.0984,4.0984,4.0984,4.0984,0,0,0,0
19710528,4.1058,4.1058,4.1058,4.1058,0,0,0,0
19710601,4.1059,4.1059,4.1059,4.1059,0,0,0,0
19710602,4.0995,4.0995,4.0995,4.0995,0,0,0,0
19710603,4.0898,4.0898,4.0898,4.0898,0,0,0,0
19710604,4.094,4.094,4.094,4.094,0,0,0,0
19710607,4.0879,4.0879,4.0879,4.0879,0,0,0,0
19710608,4.0896,4.0896,4.0896,4.0896,0,0,0,0
19710609,4.0909,4.0909,4.0909,4.0909,0,0,0,0
19710610,4.0851,4.0851,4.0851,4.0851,0,0,0,0
19710611,4.0885,4.0885,4.0885,4.0885,0,0,0,0
19710614,4.0901,4.0901,4.0901,4.0901,0,0,0,0
19710615,4.0948,4.0948,4.0948,4.0948,0,0,0,0
19710616,4.0907,4.0907,4.0907,4.0907,0,0,0,0
19710617,4.094,4.094,4.094,4.094,0,0,0,0
19710618,4.0931,4.0931,4.0931,4.0931,0,0,0,0
19710621,4.0929,4.0929,4.0929,4.0929,0,0,0,0
19710622,4.0961,4.0961,4.0961,4.0961,0,0,0,0
19710623,4.0943,4.0943,4.0943,4.0943,0,0,0,0
19710624,4.094,4.094,4.094,4.094,0,0,0,0
19710625,4.0944,4.0944,4.0944,4.0944,0,0,0,0
19710628,4.0981,4.0981,4.0981,4.0981,0,0,0,0
19710629,4.1017,4.1017,4.1017,4.1017,0,0,0,0
19710630,4.0989,4.0989,4.0989,4.0989,0,0,0,0
19710701,4.0966,4.0966,4.0966,4.0966,0,0,0,0
19710702,4.0989,4.0989,4.0989,4.0989,0,0,0,0
19710706,4.1037,4.1037,4.1037,4.1037,0,0,0,0
19710707,4.1049,4.1049,4.1049,4.1049,0,0,0,0
19710708,4.105,4.105,4.105,4.105,0,0,0,0
19710709,4.1061,4.1061,4.1061,4.1061,0,0,0,0
19710712,4.106,4.106,4.106,4.106,0,0,0,0
19710713,4.1038,4.1038,4.1038,4.1038,0,0,0,0
19710714,4.098,4.098,4.098,4.098,0,0,0,0
19710715,4.0939,4.0939,4.0939,4.0939,0,0,0,0
19710716,4.0934,4.0934,4.0934,4.0934,0,0,0,0
19710719,4.0915,4.0915,4.0915,4.0915,0,0,0,0
19710720,4.0909,4.0909,4.0909,4.0909,0,0,0,0
19710721,4.0886,4.0886,4.0886,4.0886,0,0,0,0
19710722,4.0866,4.0866,4.0866,4.0866,0,0,0,0
19710723,4.0866,4.0866,4.0866,4.0866,0,0,0,0
19710726,4.0862,4.0862,4.0862,4.0862,0,0,0,0
19710727,4.0862,4.0862,4.0862,4.0862,0,0,0,0
19710728,4.0854,4.0854,4.0854,4.0854,0,0,0,0
19710729,4.0871,4.0871,4.0871,4.0871,0,0,0,0
19710730,4.0862,4.0862,4.0862,4.0862,0,0,0,0
19710802,4.0878,4.0878,4.0878,4.0878,0,0,0,0
19710803,4.0887,4.0887,4.0887,4.0887,0,0,0,0
19710804,4.0607,4.0607,4.0607,4.0607,0,0,0,0
19710805,4.0616,4.0616,4.0616,4.0616,0,0,0,0
19710806,4.0699,4.0699,4.0699,4.0699,0,0,0,0
19710809,4.0532,4.0532,4.0532,4.0532,0,0,0,0
19710810,4.0582,4.0582,4.0582,4.0582,0,0,0,0
19710811,4.06,4.06,4.06,4.06,0,0,0,0
19710812,4.0527,4.0527,4.0527,4.0527,0,0,0,0
19710813,4.0633,4.0633,4.0633,4.0633,0,0,0,0
19710823,3.9932,3.9932,3.9932,3.9932,0,0,0,0
19710824,3.9761,3.9761,3.9761,3.9761,0,0,0,0
19710825,3.9748,3.9748,3.9748,3.9748,0,0,0,0
19710826,3.9651,3.9651,3.9651,3.9651,0,0,0,0
19710827,3.9732,3.9732,3.9732,3.9732,0,0,0,0
19710830,3.9878,3.9878,3.9878,3.9878,0,0,0,0
19710831,3.9936,3.9936,3.9936,3.9936,0,0,0,0
19710901,4.0024,4.0024,4.0024,4.0024,0,0,0,0
19710902,3.9992,3.9992,3.9992,3.9992,0,0,0,0
19710903,3.979,3.979,3.979,3.979,0,0,0,0
19710907,3.9999,3.9999,3.9999,3.9999,0,0,0,0
19710908,3.9963,3.9963,3.9963,3.9963,0,0,0,0
19710909,3.9948,3.9948,3.9948,3.9948,0,0,0,0
19710910,3.9933,3.9933,3.9933,3.9933,0,0,0,0
19710913,3.9984,3.9984,3.9984,3.9984,0,0,0,0
19710914,3.9897,3.9897,3.9897,3.9897,0,0,0,0
19710915,3.9853,3.9853,3.9853,3.9853,0,0,0,0
19710916,3.986,3.986,3.986,3.986,0,0,0,0
19710917,3.9864,3.9864,3.9864,3.9864,0,0,0,0
19710920,3.9714,3.9714,3.9714,3.9714,0,0,0,0
19710921,3.9751,3.9751,3.9751,3.9751,0,0,0,0
19710922,3.9714,3.9714,3.9714,3.9714,0,0,0,0
19710923,3.9563,3.9563,3.9563,3.9563,0,0,0,0
19710924,3.9698,3.9698,3.9698,3.9698,0,0,0,0
19710927,3.9689,3.9689,3.9689,3.9689,0,0,0,0
19710928,3.9681,3.9681,3.9681,3.9681,0,0,0,0
19710929,3.9594,3.9594,3.9594,3.9594,0,0,0,0
19710930,3.9541,3.9541,3.9541,3.9541,0,0,0,0
19711001,3.9588,3.9588,3.9588,3.9588,0,0,0,0
19711004,3.9599,3.9599,3.9599,3.9599,0,0,0,0
19711005,3.9596,3.9596,3.9596,3.9596,0,0,0,0
19711006,3.9603,3.9603,3.9603,3.9603,0,0,0,0
19711007,3.9604,3.9604,3.9604,3.9604,0,0,0,0
19711008,3.9659,3.9659,3.9659,3.9659,0,0,0,0
19711012,3.9699,3.9699,3.9699,3.9699,0,0,0,0
19711013,3.9781,3.9781,3.9781,3.9781,0,0,0,0
19711014,3.9824,3.9824,3.9824,3.9824,0,0,0,0
19711015,3.9833,3.9833,3.9833,3.9833,0,0,0,0
19711018,3.9727,3.9727,3.9727,3.9727,0,0,0,0
19711019,3.9749,3.9749,3.9749,3.9749,0,0,0,0
19711020,3.9755,3.9755,3.9755,3.9755,0,0,0,0
19711021,3.9774,3.9774,3.9774,3.9774,0,0,0,0
19711022,3.9799,3.9799,3.9799,3.9799,0,0,0,0
19711026,3.9914,3.9914,3.9914,3.9914,0,0,0,0
19711027,3.9948,3.9948,3.9948,3.9948,0,0,0,0
19711028,3.988,3.988,3.988,3.988,0,0,0,0
19711029,3.9927,3.9927,3.9927,3.9927,0,0,0,0
19711101,3.996,3.996,3.996,3.996,0,0,0,0
19711103,3.9917,3.9917,3.9917,3.9917,0,0,0,0
19711104,3.9912,3.9912,3.9912,3.9912,0,0,0,0
19711105,3.9911,3.9911,3.9911,3.9911,0,0,0,0
19711108,3.9946,3.9946,3.9946,3.9946,0,0,0,0
19711109,3.9946,3.9946,3.9946,3.9946,0,0,0,0
19711110,3.996,3.996,3.996,3.996,0,0,0,0
19711111,3.9952,3.9952,3.9952,3.9952,0,0,0,0
19711112,3.9943,3.9943,3.9943,3.9943,0,0,0,0
19711115,3.9944,3.9944,3.9944,3.9944,0,0,0,0
19711116,3.9948,3.9948,3.9948,3.9948,0,0,0,0
19711117,3.996,3.996,3.996,3.996,0,0,0,0
19711118,3.9965,3.9965,3.9965,3.9965,0,0,0,0
19711119,3.9839,3.9839,3.9839,3.9839,0,0,0,0
19711122,3.9761,3.9761,3.9761,3.9761,0,0,0,0
19711123,3.9647,3.9647,3.9647,3.9647,0,0,0,0
19711124,3.9526,3.9526,3.9526,3.9526,0,0,0,0
19711126,3.9555,3.9555,3.9555,3.9555,0,0,0,0
19711129,3.9539,3.9539,3.9539,3.9539,0,0,0,0
19711130,3.9555,3.9555,3.9555,3.9555,0,0,0,0
19711201,3.9489,3.9489,3.9489,3.9489,0,0,0,0
19711202,3.9335,3.9335,3.9335,3.9335,0,0,0,0
19711203,3.917,3.917,3.917,3.917,0,0,0,0
19711206,3.8948,3.8948,3.8948,3.8948,0,0,0,0
19711207,3.8997,3.8997,3.8997,3.8997,0,0,0,0
19711208,3.8986,3.8986,3.8986,3.8986,0,0,0,0
19711209,3.9,3.9,3.9,3.9,0,0,0,0
19711210,3.8998,3.8998,3.8998,3.8998,0,0,0,0
19711213,3.9027,3.9027,3.9027,3.9027,0,0,0,0
19711214,3.885,3.885,3.885,3.885,0,0,0,0
19711215,3.8756,3.8756,3.8756,3.8756,0,0,0,0
19711216,3.8826,3.8826,3.8826,3.8826,0,0,0,0
19711217,3.8754,3.8754,3.8754,3.8754,0,0,0,0
19711221,3.8842,3.8842,3.8842,3.8842,0,0,0,0
19711222,3.885,3.885,3.885,3.885,0,0,0,0
19711223,3.9043,3.9043,3.9043,3.9043,0,0,0,0
19711224,3.9092,3.9092,3.9092,3.9092,0,0,0,0
