date,open,high,low,close,volume,open_interest,total_volume,total_open_interest
19980803,1120.67,1121.79,1110.39,1112.44,62040,0,62040,0
19980804,1112.44,1119.73,1071.82,1072.12,85260,0,85260,0
19980805,1072.12,1084.8,1057.35,1081.43,85160,0,85160,0
19980806,1081.43,1090.95,1074.94,1089.63,76840,0,76840,0
19980807,1089.63,1102.54,1084.72,1089.45,75910,0,75910,0
19980810,1089.45,1092.82,1081.76,1083.14,57918,0,57918,0
19980811,1083.14,1083.14,1054,1068.98,77440,0,77440,0
19980812,1068.98,1084.7,1068.98,1084.22,71170,0,71170,0
19980813,1084.22,1091.5,1074.91,1074.91,66070,0,66070,0
19980814,1074.91,1083.92,1057.22,1062.75,64403,0,64403,0
19980817,1062.75,1083.67,1055.08,1083.67,58438,0,58438,0
19980818,1083.67,1101.72,1083.67,1101.2,69060,0,69060,0
19980819,1101.2,1106.32,1094.93,1098.06,63363,0,63363,0
19980820,1098.06,1098.79,1089.55,1091.6,62163,0,62163,0
19980821,1091.6,1091.6,1054.92,1081.24,72570,0,72570,0
19980824,1081.24,1093.82,1081.24,1088.14,55810,0,55810,0
19980825,1088.14,1106.64,1085.53,1092.85,66490,0,66490,0
19980826,1092.85,1092.85,1075.91,1084.19,67410,0,67410,0
19980827,1084.19,1084.19,1037.61,1042.59,93860,0,93860,0
19980828,1042.59,1051.8,1021.04,1027.14,84030,0,84030,0
19980831,1027.14,1033.47,957.28,957.28,91750,0,91750,0
19980901,957.28,1000.71,939.98,994.26,121660,0,121660,0
19980902,994.26,1013.19,988.4,990.48,89460,0,89460,0
19980903,990.47,990.47,969.32,982.26,88050,0,88050,0
19980904,982.26,991.41,956.51,973.89,78030,0,78030,0
19980908,973.89,1023.46,973.89,1023.46,81480,0,81480,0
19980909,1023.46,1027.72,1004.56,1006.2,70430,0,70430,0
19980910,1006.2,1006.2,968.64,980.19,88030,0,88030,0
19980911,980.19,1009.06,969.71,1009.06,81910,0,81910,0
19980914,1009.06,1038.38,1009.06,1029.72,71440,0,71440,0
19980915,1029.72,1037.9,1021.42,1037.68,72460,0,72460,0
19980916,1037.68,1046.07,1029.31,1045.48,79750,0,79750,0
19980917,1045.48,1045.48,1016.05,1018.87,69450,0,69450,0
19980918,1018.87,1022.01,1011.86,1020.09,79470,0,79470,0
19980921,1020.09,1026.02,993.82,1023.89,60988,0,60988,0
19980922,1023.89,1033.89,1021.96,1029.63,69490,0,69490,0
19980923,1029.63,1066.09,1029.63,1066.09,89970,0,89970,0
19980924,1066.09,1066.11,1033.04,1042.72,80590,0,80590,0
19980925,1042.72,1051.89,1028.49,1044.75,73680,0,73680,0
19980928,1044.75,1061.46,1042.23,1048.69,69050,0,69050,0
19980929,1048.69,1056.31,1039.88,1049.02,76010,0,76010,0
19980930,1049.02,1049.02,1015.73,1017.01,80010,0,80010,0
19981001,1017.01,1017.01,981.29,986.39,89970,0,89970,0
19981002,986.39,1005.45,971.69,1002.6,90290,0,90290,0
19981005,1002.6,1002.6,964.72,988.56,81750,0,81750,0
19981006,988.56,1008.77,974.81,984.59,84570,0,84570,0
19981007,984.59,995.66,957.15,970.68,97700,0,97700,0
19981008,970.68,970.68,923.32,959.44,111460,0,111460,0
19981009,959.44,984.42,953.04,984.39,87810,0,87810,0
19981012,984.39,1010.71,984.39,997.71,69110,0,69110,0
19981013,997.71,1000.78,987.55,994.8,73330,0,73330,0
19981014,994.8,1014.42,987.8,1005.53,79120,0,79120,0
19981015,1005.53,1053.09,1000.12,1047.49,93760,0,93760,0
19981016,1047.49,1062.65,1047.49,1056.42,104220,0,104220,0
19981019,1056.42,1065.21,1054.23,1062.39,73860,0,73860,0
19981020,1062.39,1084.06,1060.61,1063.93,95820,0,95820,0
19981021,1063.93,1073.61,1058.08,1069.92,74510,0,74510,0
19981022,1069.92,1080.43,1061.47,1078.48,75490,0,75490,0
19981023,1078.48,1078.48,1067.43,1070.67,63764,0,63764,0
19981026,1070.67,1081.23,1068.17,1072.32,60991,0,60991,0
19981027,1072.32,1087.08,1063.06,1065.34,76450,0,76450,0
19981028,1065.34,1072.79,1059.65,1068.09,67750,0,67750,0
19981029,1068.09,1086.11,1065.95,1085.93,69940,0,69940,0
19981030,1085.93,1103.78,1085.93,1098.67,78500,0,78500,0
19981102,1098.67,1114.44,1098.67,1111.6,75380,0,75380,0
19981103,1111.6,1115.02,1106.42,1110.84,70430,0,70430,0
19981104,1110.84,1127.18,1110.59,1118.67,86110,0,86110,0
19981105,1118.67,1133.88,1109.55,1133.85,77020,0,77020,0
19981106,1133.85,1141.3,1131.18,1141.01,68310,0,68310,0
19981109,1141.01,1141.01,1123.17,1130.2,59299,0,59299,0
19981110,1130.2,1135.37,1122.8,1128.26,67130,0,67130,0
19981111,1128.26,1136.25,1117.4,1120.97,71570,0,71570,0
19981112,1120.97,1126.57,1115.55,1117.69,66230,0,66230,0
19981113,1117.69,1126.34,1116.76,1125.72,60227,0,60227,0
19981116,1125.72,1138.72,1125.72,1135.87,61558,0,61558,0
19981117,1135.87,1151.71,1129.67,1139.32,70520,0,70520,0
19981118,1139.32,1144.52,1133.07,1144.48,65251,0,65251,0
19981119,1144.48,1155.1,1144.42,1152.61,67100,0,67100,0
19981120,1152.61,1163.55,1152.61,1163.55,72120,0,72120,0
19981123,1163.55,1188.21,1163.55,1188.21,77410,0,77410,0
19981124,1188.21,1191.3,1181.81,1182.99,76620,0,76620,0
19981125,1182.99,1187.16,1179.37,1186.87,58358,0,58358,0
19981127,1186.87,1192.97,1186.83,1192.33,25695,0,25695,0
19981130,1192.33,1192.72,1163.63,1163.63,68790,0,68790,0
19981201,1163.63,1175.89,1150.31,1175.28,78920,0,78920,0
19981202,1175.28,1175.28,1157.76,1171.25,72740,0,72740,0
19981203,1171.25,1176.99,1149.61,1150.14,79910,0,79910,0
19981204,1150.14,1176.74,1150.14,1176.74,70970,0,70970,0
19981207,1176.74,1188.96,1176.71,1187.7,67120,0,67120,0
19981208,1187.7,1193.53,1172.78,1181.38,72770,0,72770,0
19981209,1181.38,1185.22,1175.89,1183.49,69420,0,69420,0
19981210,1183.49,1183.77,1163.75,1165.02,74860,0,74860,0
19981211,1165.02,1167.89,1153.19,1166.46,68890,0,68890,0
19981214,1166.46,1166.46,1136.89,1141.2,74180,0,74180,0
19981215,1141.2,1162.83,1141.2,1162.83,77790,0,77790,0
19981216,1162.83,1166.29,1154.69,1161.94,72550,0,72550,0
19981217,1161.94,1180.03,1161.94,1179.98,73940,0,73940,0
19981218,1179.98,1188.89,1178.27,1188.03,83960,0,83960,0
19981221,1188.03,1210.88,1188.03,1202.84,74480,0,74480,0
19981222,1202.84,1209.22,1192.72,1203.57,68050,0,68050,0
19981223,1203.57,1229.89,1203.57,1228.54,69750,0,69750,0
19981224,1228.54,1229.72,1224.85,1226.27,24698,0,24698,0
19981228,1226.27,1231.52,1221.17,1225.49,53156,0,53156,0
19981229,1225.49,1241.86,1220.78,1241.81,58649,0,58649,0
19981230,1241.81,1244.93,1231.2,1231.93,59422,0,59422,0
19981231,1231.93,1237.18,1224.96,1229.23,71920,0,71920,0
19990104,1229.23,1248.81,1219.1,1228.1,87700,0,87700,0
19990105,1228.1,1246.11,1228.1,1244.78,77500,0,77500,0
19990106,1244.78,1272.5,1244.78,1272.34,98690,0,98690,0
19990107,1272.34,1272.34,1257.68,1269.73,86300,0,86300,0
19990108,1269.73,1278.24,1261.82,1275.09,93780,0,93780,0
19990111,1275.09,1276.22,1253.34,1263.88,81800,0,81800,0
19990112,1263.88,1264.45,1238.29,1239.51,80020,0,80020,0
19990113,1239.51,1247.75,1205.46,1234.4,93150,0,93150,0
19990114,1234.4,1236.81,1209.54,1212.19,79720,0,79720,0
19990115,1212.19,1243.26,1212.19,1243.26,79810,0,79810,0
19990119,1243.26,1253.27,1234.91,1252,78550,0,78550,0
19990120,1252,1274.07,1251.54,1256.62,90570,0,90570,0
19990121,1256.62,1256.94,1232.19,1235.16,87180,0,87180,0
19990122,1235.16,1236.41,1217.97,1225.19,78590,0,78590,0
19990125,1225.19,1233.98,1219.46,1233.98,72390,0,72390,0
